ThetaIncident,SineRatio,Power1,Power2,volume,volume_a,total,total_a,,measure,entropy
54,0.1,0.5,1,368,466,151,125,3992,16,1818
54,0.1,0.5,2,369,436,152,137,3908,8,1727
54,0.1,1,0.5,434,466,130,125,4930,51,2294
54,0.1,1,1,430,481,130,120,4840,44,2233
54,0.1,1,2,407,457,137,128,4445,25,1999
54,0.1,2,0.5,425,436,134,137,4841,37,2269
54,0.1,2,1,443,457,127,128,5059,48,2360
54,0.1,2,2,453,474,123,122,5124,38,2354
54,0.2,0.5,0.5,378,451,149,128,4182,22,1939
54,0.2,0.5,1,375,466,149,125,4078,19,1855
54,0.2,0.5,2,379,436,148,137,4048,8,1798
54,0.2,1,0.5,435,466,130,125,4949,51,2306
54,0.2,1,1,435,481,129,120,4903,33,2260
54,0.2,1,2,415,457,134,128,4566,21,2064
54,0.2,2,0.5,426,436,133,137,4848,37,2269
54,0.2,2,1,445,457,127,128,5085,48,2371
54,0.2,2,2,459,474,121,122,5204,43,2391
54,0.3,0.5,0.5,382,451,147,128,4230,27,1959
54,0.3,0.5,1,382,466,147,125,4170,17,1899
54,0.3,0.5,2,387,436,146,137,4157,11,1851
54,0.3,1,0.5,437,466,129,125,4970,51,2313
54,0.3,1,1,439,481,128,120,4961,45,2290
54,0.3,1,2,422,457,133,128,4665,26,2114
54,0.3,2,0.5,426,436,133,137,4853,37,2274
54,0.3,2,1,446,457,126,128,5103,48,2382
54,0.3,2,2,463,474,121,122,5261,39,2419
54,0.4,0.5,0.5,388,451,145,128,4299,22,1986
54,0.4,0.5,1,390,466,144,125,4278,21,1951
54,0.4,0.5,2,393,436,144,137,4252,15,1904
54,0.4,1,0.5,439,466,128,125,5002,52,2331
54,0.4,1,1,445,481,126,120,5030,35,2316
54,0.4,1,2,428,457,131,128,4748,23,2155
54,0.4,2,0.5,427,436,133,137,4861,37,2275
54,0.4,2,1,449,457,125,128,5129,48,2387
54,0.4,2,2,467,474,120,122,5318,45,2448
54,0.5,0.5,0.5,397,451,142,128,4409,25,2033
54,0.5,0.5,1,403,466,140,125,4439,22,2021
54,0.5,0.5,2,401,436,142,137,4378,18,1974
54,0.5,1,0.5,444,466,127,125,5057,52,2350
54,0.5,1,1,455,481,124,120,5151,34,2366
54,0.5,1,2,438,457,129,128,4879,35,2215
54,0.5,2,0.5,428,436,132,137,4878,37,2285
54,0.5,2,1,453,457,124,128,5184,48,2414
54,0.5,2,2,476,474,118,122,5428,44,2493
54,0.6,0.5,0.5,406,451,139,128,4514,29,2075
54,0.6,0.5,1,414,466,136,125,4583,30,2088
54,0.6,0.5,2,406,436,139,137,4472,24,2033
54,0.6,1,0.5,448,466,126,125,5103,53,2368
54,0.6,1,1,461,481,121,120,5239,49,2412
54,0.6,1,2,443,457,127,128,4959,28,2260
54,0.6,2,0.5,429,436,132,137,4890,37,2290
54,0.6,2,1,456,457,123,128,5219,48,2427
54,0.6,2,2,481,474,116,122,5486,41,2515
54,0.7,0.5,0.5,416,451,135,128,4652,30,2143
54,0.7,0.5,1,428,466,131,125,4773,33,2180
54,0.7,0.5,2,414,436,136,137,4596,30,2101
54,0.7,1,0.5,454,466,124,125,5173,53,2395
54,0.7,1,1,473,481,118,120,5380,50,2467
54,0.7,1,2,452,457,124,128,5090,33,2327
54,0.7,2,0.5,431,436,131,137,4911,37,2297
54,0.7,2,1,462,457,121,128,5285,48,2450
54,0.7,2,2,491,474,113,122,5604,41,2562
54,0.8,0.5,0.5,429,451,131,128,4813,40,2213
54,0.8,0.5,1,444,466,126,125,4996,31,2289
54,0.8,0.5,2,424,436,133,137,4740,29,2175
54,0.8,1,0.5,461,466,122,125,5263,54,2436
54,0.8,1,1,488,481,114,120,5562,57,2541
54,0.8,1,2,465,457,120,128,5257,43,2401
54,0.8,2,0.5,434,436,130,137,4943,36,2307
54,0.8,2,1,471,457,119,128,5382,47,2483
54,0.8,2,2,506,474,110,122,5775,45,2624
54,0.9,0.5,0.5,441,451,127,128,4977,43,2292
54,0.9,0.5,1,461,466,122,125,5219,52,2392
54,0.9,0.5,2,432,436,131,137,4872,33,2250
54,0.9,1,0.5,469,466,120,125,5354,56,2469
54,0.9,1,1,503,481,111,120,5748,60,2619
54,0.9,1,2,478,457,117,128,5418,46,2469
54,0.9,2,0.5,438,436,129,137,4975,36,2311
54,0.9,2,1,481,457,116,128,5481,48,2510
54,0.9,2,2,522,474,107,122,5950,59,2683
54,1,0.5,0.5,429,451,133,135,4885,43,2285
54,1,0.5,1,424,466,134,138,4821,36,2256
54,1,0.5,2,410,436,139,147,4639,38,2172
54,1,1,0.5,424,466,134,138,4821,36,2256
54,1,1,1,416,481,137,143,4715,38,2206
54,1,1,2,406,457,141,149,4587,38,2148
54,1,2,0.5,410,436,139,147,4639,38,2172
54,1,2,1,406,457,141,149,4587,38,2148
54,1,2,2,402,474,143,152,4527,37,2116
63,0.1,0.5,0.5,379,451,148,128,4246,24,1996
63,0.1,0.5,1,369,466,151,125,4036,21,1855
63,0.1,0.5,2,371,436,152,137,3943,12,1748
63,0.1,1,0.5,437,466,129,125,5045,60,2388
63,0.1,1,1,429,481,130,120,4892,37,2292
63,0.1,1,2,405,457,138,128,4474,31,2042
63,0.1,2,0.5,426,436,133,137,4904,42,2325
63,0.1,2,1,441,457,128,128,5097,56,2412
63,0.1,2,2,448,474,125,122,5133,45,2398
63,0.2,0.5,0.5,381,451,147,128,4276,24,2012
63,0.2,0.5,1,374,466,149,125,4119,24,1903
63,0.2,0.5,2,380,436,148,137,4078,14,1821
63,0.2,1,0.5,438,466,129,125,5058,60,2394
63,0.2,1,1,432,481,130,120,4942,40,2320
63,0.2,1,2,413,457,136,128,4583,25,2095
63,0.2,2,0.5,426,436,133,137,4906,42,2327
63,0.2,2,1,441,457,128,128,5110,56,2425
63,0.2,2,2,452,474,124,122,5191,52,2428
63,0.3,0.5,0.5,386,451,146,128,4328,24,2029
63,0.3,0.5,1,382,466,147,125,4213,22,1942
63,0.3,0.5,2,386,436,147,137,4182,15,1883
63,0.3,1,0.5,440,466,128,125,5080,60,2402
63,0.3,1,1,436,481,129,120,4999,53,2349
63,0.3,1,2,418,457,134,128,4673,33,2150
63,0.3,2,0.5,426,436,133,137,4911,42,2332
63,0.3,2,1,443,457,127,128,5127,56,2428
63,0.3,2,2,455,474,123,122,5242,46,2457
63,0.4,0.5,0.5,393,451,144,128,4413,36,2065
63,0.4,0.5,1,392,466,144,125,4340,24,1999
63,0.4,0.5,2,393,436,144,137,4289,18,1941
63,0.4,1,0.5,443,466,128,125,5114,61,2415
63,0.4,1,1,442,481,127,120,5072,37,2380
63,0.4,1,2,424,457,133,128,4761,37,2196
63,0.4,2,0.5,427,436,133,137,4918,42,2332
63,0.4,2,1,445,457,127,128,5149,56,2435
63,0.4,2,2,459,474,122,122,5291,48,2478
63,0.5,0.5,0.5,402,451,141,128,4521,26,2110
63,0.5,0.5,1,404,466,140,125,4497,27,2072
63,0.5,0.5,2,400,436,142,137,4407,22,2010
63,0.5,1,0.5,446,466,127,125,5159,61,2438
63,0.5,1,1,450,481,125,120,5167,40,2418
63,0.5,1,2,431,457,131,128,4864,41,2250
63,0.5,2,0.5,428,436,133,137,4928,42,2335
63,0.5,2,1,447,457,126,128,5181,55,2453
63,0.5,2,2,464,474,121,122,5359,52,2510
63,0.6,0.5,0.5,412,451,137,128,4653,38,2172
63,0.6,0.5,1,417,466,135,125,4676,37,2160
63,0.6,0.5,2,408,436,139,137,4525,21,2072
63,0.6,1,0.5,451,466,125,125,5217,62,2461
63,0.6,1,1,459,481,123,120,5281,56,2468
63,0.6,1,2,438,457,129,128,4970,37,2306
63,0.6,2,0.5,429,436,132,137,4943,41,2343
63,0.6,2,1,451,457,125,128,5226,55,2470
63,0.6,2,2,470,474,119,122,5436,46,2544
63,0.7,0.5,0.5,425,451,133,128,4819,40,2247
63,0.7,0.5,1,434,466,131,125,4903,36,2267
63,0.7,0.5,2,417,436,136,137,4671,32,2155
63,0.7,1,0.5,458,466,124,125,5301,62,2495
63,0.7,1,1,472,481,120,120,5449,46,2543
63,0.7,1,2,450,457,126,128,5123,34,2374
63,0.7,2,0.5,431,436,132,137,4969,41,2355
63,0.7,2,1,458,457,123,128,5305,54,2499
63,0.7,2,2,482,474,117,122,5575,57,2597
63,0.8,0.5,0.5,440,451,129,128,5019,44,2341
63,0.8,0.5,1,453,466,125,125,5170,50,2400
63,0.8,0.5,2,427,436,133,137,4830,38,2244
63,0.8,1,0.5,467,466,121,125,5417,63,2547
63,0.8,1,1,490,481,116,120,5677,67,2642
63,0.8,1,2,465,457,122,128,5320,57,2464
63,0.8,2,0.5,435,436,131,137,5011,41,2368
63,0.8,2,1,469,457,121,128,5430,54,2545
63,0.8,2,2,501,474,114,122,5788,51,2673
63,0.9,0.5,0.5,456,451,125,128,5228,54,2436
63,0.9,0.5,1,474,466,120,125,5453,45,2533
63,0.9,0.5,2,439,436,130,137,4998,42,2327
63,0.9,1,0.5,478,466,119,125,5551,65,2602
63,0.9,1,1,513,481,112,120,5945,76,2744
63,0.9,1,2,484,457,119,128,5550,58,2558
63,0.9,2,0.5,440,436,129,137,5062,40,2384
63,0.9,2,1,484,457,118,128,5588,53,2596
63,0.9,2,2,526,474,110,122,6061,55,2765
63,1,0.5,0.5,437,445,130,135,5054,50,2397
63,1,0.5,1,428,436,133,138,4934,41,2341
63,1,0.5,2,411,418,139,147,4687,42,2213
63,1,1,0.5,428,436,133,138,4934,41,2341
63,1,1,1,418,426,136,143,4788,43,2265
63,1,1,2,406,414,141,149,4620,41,2181
63,1,2,0.5,411,418,139,147,4687,42,2213
63,1,2,1,406,414,141,149,4620,41,2181
63,1,2,2,401,409,143,152,4542,39,2138
72,0.1,0.5,0.5,379,451,148,128,4289,27,2039
72,0.1,0.5,1,369,466,152,125,4070,28,1889
72,0.1,0.5,2,371,436,152,137,3973,12,1778
72,0.1,1,0.5,437,466,129,125,5096,58,2439
72,0.1,1,1,428,481,131,120,4934,51,2341
72,0.1,1,2,405,457,139,128,4511,28,2079
72,0.1,2,0.5,425,436,134,137,4935,61,2363
72,0.1,2,1,439,457,129,128,5130,53,2459
72,0.1,2,2,446,474,126,122,5170,65,2449
72,0.2,0.5,0.5,382,451,147,128,4327,27,2056
72,0.2,0.5,1,375,466,150,125,4163,25,1940
72,0.2,0.5,2,381,436,148,137,4112,16,1848
72,0.2,1,0.5,438,466,129,125,5115,59,2451
72,0.2,1,1,432,481,130,120,4995,51,2373
72,0.2,1,2,413,457,136,128,4630,37,2142
72,0.2,2,0.5,426,436,134,137,4941,61,2362
72,0.2,2,1,441,457,129,128,5152,53,2467
72,0.2,2,2,451,474,125,122,5240,66,2484
72,0.3,0.5,0.5,387,451,146,128,4392,41,2086
72,0.3,0.5,1,384,466,147,125,4273,26,1988
72,0.3,0.5,2,388,436,146,137,4225,18,1912
72,0.3,1,0.5,440,466,129,125,5140,59,2462
72,0.3,1,1,437,481,129,120,5056,52,2399
72,0.3,1,2,419,457,135,128,4723,39,2193
72,0.3,2,0.5,426,436,134,137,4945,61,2366
72,0.3,2,1,442,457,128,128,5168,53,2476
72,0.3,2,2,454,474,124,122,5286,67,2508
72,0.4,0.5,0.5,395,451,143,128,4482,41,2120
72,0.4,0.5,1,394,466,144,125,4405,31,2050
72,0.4,0.5,2,394,436,144,137,4333,23,1978
72,0.4,1,0.5,443,466,128,125,5172,59,2473
72,0.4,1,1,442,481,128,120,5125,53,2433
72,0.4,1,2,424,457,133,128,4805,32,2240
72,0.4,2,0.5,426,436,134,137,4950,61,2371
72,0.4,2,1,443,457,128,128,5183,53,2484
72,0.4,2,2,456,474,124,122,5323,68,2531
72,0.5,0.5,0.5,404,451,140,128,4595,42,2170
72,0.5,0.5,1,406,466,140,125,4565,38,2126
72,0.5,0.5,2,401,436,142,137,4450,21,2046
72,0.5,1,0.5,446,466,127,125,5213,60,2492
72,0.5,1,1,448,481,126,120,5209,55,2474
72,0.5,1,2,430,457,132,128,4896,39,2289
72,0.5,2,0.5,427,436,134,137,4957,61,2371
72,0.5,2,1,445,457,128,128,5203,53,2489
72,0.5,2,2,459,474,123,122,5367,70,2554
72,0.6,0.5,0.5,414,451,136,128,4734,44,2239
72,0.6,0.5,1,420,466,135,125,4757,36,2220
72,0.6,0.5,2,409,436,139,137,4579,30,2119
72,0.6,1,0.5,450,466,126,125,5263,60,2514
72,0.6,1,1,456,481,124,120,5310,55,2518
72,0.6,1,2,436,457,130,128,4994,36,2344
72,0.6,2,0.5,427,436,134,137,4965,61,2379
72,0.6,2,1,447,457,127,128,5227,53,2499
72,0.6,2,2,463,474,122,122,5413,69,2571
72,0.7,0.5,0.5,426,451,132,128,4898,46,2319
72,0.7,0.5,1,436,466,130,125,4978,50,2328
72,0.7,0.5,2,418,436,136,137,4720,29,2197
72,0.7,1,0.5,455,466,124,125,5334,61,2549
72,0.7,1,1,467,481,121,120,5448,56,2578
72,0.7,1,2,445,457,127,128,5121,48,2407
72,0.7,2,0.5,429,436,133,137,4982,61,2382
72,0.7,2,1,452,457,126,128,5279,52,2516
72,0.7,2,2,471,474,120,122,5505,69,2606
72,0.8,0.5,0.5,440,451,128,128,5087,55,2409
72,0.8,0.5,1,454,466,125,125,5228,40,2450
72,0.8,0.5,2,427,436,133,137,4864,46,2278
72,0.8,1,0.5,463,466,123,125,5428,61,2586
72,0.8,1,1,481,481,118,120,5632,57,2661
72,0.8,1,2,457,457,124,128,5276,46,2477
72,0.8,2,0.5,432,436,132,137,5010,60,2388
72,0.8,2,1,459,457,124,128,5364,51,2551
72,0.8,2,2,484,474,118,122,5650,68,2658
72,0.9,0.5,0.5,455,451,125,128,5295,53,2510
72,0.9,0.5,1,473,466,120,125,5503,71,2590
72,0.9,0.5,2,437,436,130,137,5018,42,2361
72,0.9,1,0.5,475,466,120,125,5576,62,2648
72,0.9,1,1,505,481,114,120,5925,59,2782
72,0.9,1,2,476,457,120,128,5516,59,2581
72,0.9,2,0.5,437,436,131,137,5070,59,2413
72,0.9,2,1,476,457,121,128,5548,77,2613
72,0.9,2,2,512,474,113,122,5961,66,2767
72,1,0.5,0.5,438,445,130,135,5113,72,2449
72,1,0.5,1,428,436,133,138,4976,60,2383
72,1,0.5,2,410,418,140,147,4707,39,2240
72,1,1,0.5,428,436,133,138,4976,60,2383
72,1,1,1,417,426,137,143,4817,62,2301
72,1,1,2,406,414,142,149,4634,38,2195
72,1,2,0.5,410,418,140,147,4707,39,2240
72,1,2,1,406,414,142,149,4634,38,2195
72,1,2,2,400,409,144,152,4548,35,2151
81,0.1,0.5,0.5,376,451,149,128,4275,28,2045
81,0.1,0.5,1,367,466,152,125,4069,23,1902
81,0.1,0.5,2,372,436,152,137,3985,15,1783
81,0.1,1,0.5,433,466,130,125,5065,69,2436
81,0.1,1,1,425,481,132,120,4912,54,2340
81,0.1,1,2,404,457,139,128,4511,34,2086
81,0.1,2,0.5,421,436,135,137,4902,46,2358
81,0.1,2,1,435,457,130,128,5097,63,2454
81,0.1,2,2,443,474,127,122,5145,70,2446
81,0.2,0.5,0.5,380,451,148,128,4320,29,2063
81,0.2,0.5,1,375,466,150,125,4174,23,1951
81,0.2,0.5,2,382,436,149,137,4135,16,1864
81,0.2,1,0.5,434,466,130,125,5089,69,2453
81,0.2,1,1,429,481,131,120,4983,53,2383
81,0.2,1,2,413,457,137,128,4643,35,2155
81,0.2,2,0.5,421,436,134,137,4910,47,2366
81,0.2,2,1,437,457,129,128,5125,64,2468
81,0.2,2,2,448,474,126,122,5227,69,2492
81,0.3,0.5,0.5,386,451,146,128,4397,33,2098
81,0.3,0.5,1,384,466,147,125,4296,35,2011
81,0.3,0.5,2,389,436,146,137,4250,18,1930
81,0.3,1,0.5,437,466,129,125,5123,70,2466
81,0.3,1,1,435,481,130,120,5059,52,2416
81,0.3,1,2,419,457,135,128,4743,36,2213
81,0.3,2,0.5,422,436,134,137,4919,47,2368
81,0.3,2,1,438,457,129,128,5151,65,2487
81,0.3,2,2,452,474,125,122,5287,68,2524
81,0.4,0.5,0.5,394,451,143,128,4493,31,2138
81,0.4,0.5,1,395,466,144,125,4437,36,2075
81,0.4,0.5,2,395,436,144,137,4362,27,2000
81,0.4,1,0.5,439,466,129,125,5157,71,2486
81,0.4,1,1,440,481,128,120,5133,52,2455
81,0.4,1,2,424,457,134,128,4829,37,2264
81,0.4,2,0.5,422,436,134,137,4925,47,2374
81,0.4,2,1,439,457,129,128,5169,65,2498
81,0.4,2,2,453,474,124,122,5327,68,2557
81,0.5,0.5,0.5,403,451,140,128,4615,42,2197
81,0.5,0.5,1,407,466,139,125,4611,38,2165
81,0.5,0.5,2,403,436,141,137,4490,31,2072
81,0.5,1,0.5,442,466,128,125,5201,71,2509
81,0.5,1,1,446,481,126,120,5223,52,2502
81,0.5,1,2,430,457,132,128,4928,38,2321
81,0.5,2,0.5,423,436,134,137,4932,47,2374
81,0.5,2,1,441,457,128,128,5190,66,2505
81,0.5,2,2,456,474,124,122,5373,68,2581
81,0.6,0.5,0.5,414,451,136,128,4764,50,2269
81,0.6,0.5,1,422,466,134,125,4812,39,2261
81,0.6,0.5,2,411,436,138,137,4620,32,2146
81,0.6,1,0.5,446,466,127,125,5255,73,2534
81,0.6,1,1,454,481,124,120,5328,58,2550
81,0.6,1,2,436,457,130,128,5026,57,2376
81,0.6,2,0.5,423,436,134,137,4941,48,2383
81,0.6,2,1,443,457,128,128,5215,66,2516
81,0.6,2,2,460,474,123,122,5419,74,2599
81,0.7,0.5,0.5,426,451,133,128,4927,40,2348
81,0.7,0.5,1,438,466,130,125,5032,45,2368
81,0.7,0.5,2,420,436,136,137,4761,38,2224
81,0.7,1,0.5,450,466,125,125,5309,74,2560
81,0.7,1,1,462,481,122,120,5434,56,2599
81,0.7,1,2,443,457,128,128,5127,63,2428
81,0.7,2,0.5,424,436,134,137,4947,47,2382
81,0.7,2,1,445,457,127,128,5234,65,2520
81,0.7,2,2,463,474,122,122,5456,69,2614
81,0.8,0.5,0.5,437,451,129,128,5083,52,2426
81,0.8,0.5,1,451,466,125,125,5236,61,2480
81,0.8,0.5,2,426,436,133,137,4875,35,2296
81,0.8,1,0.5,455,466,124,125,5372,75,2587
81,0.8,1,1,471,481,120,120,5555,81,2656
81,0.8,1,2,449,457,126,128,5225,55,2483
81,0.8,2,0.5,425,436,133,137,4961,47,2389
81,0.8,2,1,449,457,126,128,5273,64,2531
81,0.8,2,2,470,474,120,122,5521,63,2629
81,0.9,0.5,0.5,449,451,126,128,5260,56,2518
81,0.9,0.5,1,466,466,122,125,5467,69,2604
81,0.9,0.5,2,433,436,131,137,5000,39,2371
81,0.9,1,0.5,465,466,122,125,5486,76,2630
81,0.9,1,1,489,481,116,120,5777,68,2749
81,0.9,1,2,463,457,123,128,5402,57,2560
81,0.9,2,0.5,430,436,132,137,5003,61,2396
81,0.9,2,1,461,457,123,128,5402,62,2575
81,0.9,2,2,490,474,117,122,5739,76,2704
81,1,0.5,0.5,434,445,131,135,5080,56,2444
81,1,0.5,1,424,436,134,138,4944,71,2379
81,1,0.5,2,406,418,140,147,4675,47,2236
81,1,1,0.5,424,436,134,138,4944,71,2379
81,1,1,1,413,426,137,143,4786,48,2298
81,1,1,2,402,414,142,149,4601,45,2190
81,1,2,0.5,406,418,140,147,4675,47,2236
81,1,2,1,402,414,142,149,4601,45,2190
81,1,2,2,397,409,144,152,4515,41,2139
90,0.1,0.5,0.5,370,451,152,128,4177,24,1989
90,0.1,0.5,1,363,466,154,125,4009,23,1869
90,0.1,0.5,2,370,436,153,137,3965,16,1777
90,0.1,1,0.5,424,466,133,125,4938,62,2373
90,0.1,1,1,416,481,135,120,4792,55,2283
90,0.1,1,2,399,457,141,128,4441,34,2051
90,0.1,2,0.5,416,436,137,137,4835,67,2326
90,0.1,2,1,428,457,132,128,4998,58,2405
90,0.1,2,2,434,474,129,122,5023,46,2387
90,0.2,0.5,0.5,373,451,151,128,4226,38,2017
90,0.2,0.5,1,371,466,152,125,4120,24,1925
90,0.2,0.5,2,381,436,150,137,4121,18,1857
90,0.2,1,0.5,426,466,133,125,4965,62,2386
90,0.2,1,1,421,481,134,120,4868,55,2324
90,0.2,1,2,408,457,139,128,4580,36,2127
90,0.2,2,0.5,417,436,137,137,4844,67,2328
90,0.2,2,1,430,457,132,128,5029,59,2422
90,0.2,2,2,440,474,128,122,5111,47,2433
90,0.3,0.5,0.5,380,451,149,128,4309,39,2052
90,0.3,0.5,1,381,466,149,125,4249,26,1985
90,0.3,0.5,2,388,436,147,137,4238,20,1925
90,0.3,1,0.5,428,466,132,125,5004,63,2411
90,0.3,1,1,427,481,132,120,4953,57,2367
90,0.3,1,2,414,457,137,128,4685,39,2190
90,0.3,2,0.5,418,436,136,137,4856,68,2333
90,0.3,2,1,432,457,131,128,5063,60,2441
90,0.3,2,2,444,474,127,122,5183,49,2476
90,0.4,0.5,0.5,389,451,146,128,4417,40,2097
90,0.4,0.5,1,393,466,145,125,4408,28,2060
90,0.4,0.5,2,396,436,145,137,4365,24,1996
90,0.4,1,0.5,432,466,131,125,5050,65,2428
90,0.4,1,1,434,481,130,120,5051,59,2415
90,0.4,1,2,421,457,135,128,4796,43,2252
90,0.4,2,0.5,418,436,136,137,4868,58,2345
90,0.4,2,1,434,457,130,128,5098,61,2462
90,0.4,2,2,448,474,126,122,5253,51,2518
90,0.5,0.5,0.5,399,451,142,128,4552,42,2162
90,0.5,0.5,1,406,466,140,125,4597,31,2158
90,0.5,0.5,2,403,436,142,137,4497,27,2079
90,0.5,1,0.5,436,466,130,125,5108,66,2458
90,0.5,1,1,442,481,128,120,5168,63,2476
90,0.5,1,2,428,457,133,128,4914,48,2321
90,0.5,2,0.5,419,436,136,137,4883,59,2353
90,0.5,2,1,437,457,130,128,5141,63,2484
90,0.5,2,2,453,474,125,122,5334,54,2564
90,0.6,0.5,0.5,411,451,138,128,4720,44,2246
90,0.6,0.5,1,422,466,135,125,4825,51,2274
90,0.6,0.5,2,412,436,139,137,4647,30,2166
90,0.6,1,0.5,441,466,129,125,5176,68,2491
90,0.6,1,1,451,481,125,120,5303,67,2547
90,0.6,1,2,436,457,130,128,5042,52,2392
90,0.6,2,0.5,420,436,135,137,4899,59,2362
90,0.6,2,1,440,457,129,128,5187,65,2509
90,0.6,2,2,458,474,123,122,5414,57,2608
90,0.7,0.5,0.5,422,451,134,128,4877,47,2326
90,0.7,0.5,1,436,466,130,125,5035,56,2385
90,0.7,0.5,2,420,436,136,137,4778,33,2241
90,0.7,1,0.5,444,466,128,125,5229,70,2522
90,0.7,1,1,458,481,123,120,5405,70,2599
90,0.7,1,2,441,457,128,128,5136,56,2451
90,0.7,2,0.5,421,436,135,137,4906,66,2362
90,0.7,2,1,441,457,128,128,5206,66,2521
90,0.7,2,2,460,474,123,122,5449,83,2629
90,0.8,0.5,0.5,433,451,131,128,5041,51,2412
90,0.8,0.5,1,451,466,126,125,5248,61,2492
90,0.8,0.5,2,427,436,134,137,4902,52,2316
90,0.8,1,0.5,448,466,126,125,5287,72,2552
90,0.8,1,1,466,481,121,120,5512,73,2649
90,0.8,1,2,448,457,127,128,5227,56,2492
90,0.8,2,0.5,422,436,135,137,4915,71,2364
90,0.8,2,1,444,457,128,128,5230,65,2523
90,0.8,2,2,465,474,122,122,5488,89,2632
90,0.9,0.5,0.5,440,451,128,128,5159,54,2481
90,0.9,0.5,1,460,466,123,125,5401,67,2581
90,0.9,0.5,2,430,436,133,137,4983,59,2376
90,0.9,1,0.5,452,466,125,125,5340,73,2577
90,0.9,1,1,474,481,119,120,5612,74,2692
90,0.9,1,2,453,457,125,128,5301,57,2531
90,0.9,2,0.5,423,436,135,137,4926,70,2368
90,0.9,2,1,448,457,127,128,5266,63,2531
90,0.9,2,2,471,474,120,122,5547,84,2648
90,1,0.5,0.5,426,445,134,135,4963,51,2384
90,1,0.5,1,419,436,136,138,4866,65,2336
90,1,0.5,2,404,418,142,147,4641,44,2216
90,1,1,0.5,419,436,136,138,4866,65,2336
90,1,1,1,410,426,139,143,4735,44,2268
90,1,1,2,400,414,143,149,4577,42,2180
90,1,2,0.5,404,418,142,147,4641,44,2216
90,1,2,1,400,414,143,149,4577,42,2180
90,1,2,2,396,409,145,152,4501,38,2132
